diet_score,sleep_hours,activity_level,bmi,hrs_score,bmi_category,health_risk_category
63.48,6.93,4.21,31.2,50.8,Obese,Moderate
39.28,6.12,3.74,28.5,54.53,Overweight,High
71.51,6.5,6.15,34.64,55.51,Obese,High
74.93,7.76,5.75,17.77,28.59,Underweight,Moderate
22.88,7.0,2.11,23.93,43.52,Normal,Moderate
34.56,7.41,7.67,22.98,24.4,Normal,Low
60.3,7.8,4.99,15.73,39.98,Underweight,Moderate
52.31,6.55,2.76,30.29,56.02,Obese,High
57.7,7.91,7.82,23.9,22.82,Normal,Low
42.65,7.45,6.58,28.75,41.13,Overweight,Moderate
73.83,5.52,2.42,36.53,68.03,Obese,High
72.0,8.73,9.11,23.5,20.2,Normal,Low
59.19,6.4,6.65,23.18,26.63,Normal,Low
78.29,5.01,5.18,25.77,40.27,Overweight,Moderate
66.42,5.75,8.7,29.94,44.18,Overweight,Moderate
42.53,5.77,5.55,22.48,34.52,Normal,Moderate
64.64,7.06,5.14,22.17,21.56,Normal,Low
40.74,6.67,3.75,30.27,56.19,Obese,High
73.81,6.6,6.48,27.02,33.39,Overweight,Low
57.1,7.74,6.25,15.5,38.58,Underweight,Moderate
54.67,7.41,5.23,19.32,29.22,Normal,Low
45.74,7.38,3.46,32.41,57.68,Obese,High
80.01,7.49,5.49,27.13,29.03,Overweight,Low
55.22,7.74,5.05,21.54,23.81,Normal,Low
50.29,4.47,2.27,24.38,52.15,Normal,High
51.66,6.56,1.96,25.26,43.04,Overweight,Moderate
67.58,4.38,6.44,28.73,52.66,Overweight,Moderate
64.58,7.04,0.0,18.68,41.15,Normal,Moderate
65.43,6.99,5.65,21.16,22.67,Normal,Low
65.75,8.25,4.15,26.51,37.73,Overweight,Moderate
96.55,8.43,8.08,24.72,17.93,Normal,Low
50.68,7.24,4.11,27.94,42.91,Overweight,Moderate
48.78,6.4,6.65,19.3,33.67,Normal,Low
43.35,7.58,4.33,26.91,40.31,Overweight,Moderate
69.09,6.37,5.45,30.44,47.92,Obese,Moderate
78.32,7.0,6.82,27.54,30.79,Overweight,Low
55.95,8.18,4.18,25.87,37.83,Overweight,Moderate
42.88,6.33,7.39,24.74,34.17,Normal,Low
43.16,7.97,3.01,21.19,33.2,Normal,Low
69.71,7.81,5.85,24.85,25.99,Normal,Low
71.38,5.85,7.23,31.25,49.07,Obese,High
67.78,8.17,6.65,24.63,26.24,Normal,Low
46.02,7.84,9.42,20.93,19.72,Normal,Low
62.18,7.12,3.52,22.84,27.01,Normal,Low
60.1,6.09,2.17,26.16,45.87,Overweight,Moderate
61.94,5.97,3.01,23.41,36.34,Normal,Moderate
73.69,6.35,6.65,27.53,35.94,Overweight,Low
62.02,7.65,6.3,27.71,34.42,Overweight,Low
70.22,5.85,5.42,29.47,47.78,Overweight,Moderate
59.22,7.53,2.73,32.03,54.14,Obese,High
63.2,5.51,6.89,29.98,50.07,Overweight,Moderate
69.36,6.76,2.51,20.72,30.65,Normal,Low
31.77,7.13,7.75,20.86,26.98,Normal,Low
52.25,9.93,10.0,24.84,34.12,Normal,Low
49.53,5.35,6.01,23.03,35.92,Normal,Moderate
46.5,8.77,6.48,19.74,34.25,Normal,Low
53.05,7.18,4.12,23.08,28.49,Normal,Low
84.91,7.49,1.22,22.92,24.07,Normal,Low
42.42,7.14,3.87,21.98,28.77,Normal,Low
75.43,7.53,2.8,23.68,25.66,Normal,Low
27.71,6.82,2.02,30.86,63.78,Obese,High
51.97,8.74,8.99,26.16,33.26,Overweight,Low
60.93,6.45,5.8,37.06,59.15,Obese,High
68.55,8.36,6.04,26.02,32.42,Overweight,Low
70.8,6.23,4.52,23.81,30.81,Normal,Low
72.28,6.93,4.82,25.22,29.95,Overweight,Low
51.72,5.71,7.32,26.43,40.56,Overweight,Moderate
49.68,7.55,5.13,27.29,38.01,Overweight,Low
73.44,8.73,6.37,35.17,55.96,Obese,High
54.56,6.91,4.77,21.14,27.71,Normal,Low
35.04,6.76,4.45,29.32,52.91,Overweight,Moderate
37.6,5.66,2.1,26.2,54.13,Overweight,High
41.45,6.72,0.85,17.66,50.03,Underweight,Moderate
66.95,5.09,4.62,28.9,52.92,Overweight,High
60.56,5.9,5.32,31.28,55.41,Obese,High
70.43,7.27,2.37,21.09,26.62,Normal,Low
50.31,8.58,5.12,25.16,37.57,Overweight,Low
60.85,10.0,5.32,16.92,48.26,Underweight,Moderate
69.26,6.3,0.46,19.16,41.94,Normal,Moderate
52.43,8.72,3.19,30.23,56.51,Obese,High
66.22,7.29,6.1,22.96,20.24,Normal,Low
46.09,6.82,6.05,19.88,31.46,Normal,Low
51.47,7.52,2.66,26.3,39.46,Overweight,Moderate
51.13,7.07,5.55,22.69,25.57,Normal,Low
36.47,7.13,7.45,22.94,25.82,Normal,Low
66.77,6.51,6.91,28.75,39.83,Overweight,Moderate
49.55,5.32,4.99,19.62,42.01,Normal,Moderate
58.22,5.15,4.17,20.85,38.89,Normal,Moderate
66.65,7.78,3.82,25.94,33.82,Overweight,Low
66.04,6.67,6.23,29.85,43.69,Overweight,Moderate
69.98,6.28,5.63,31.14,49.86,Obese,High
56.23,7.01,6.58,22.01,20.6,Normal,Low
50.38,7.95,5.49,29.7,46.48,Overweight,Moderate
56.57,7.22,7.0,21.44,20.12,Normal,Low
27.63,6.21,5.41,33.97,69.53,Obese,High
31.95,8.47,6.93,19.76,35.25,Normal,Low
34.19,8.9,7.12,31.58,58.12,Obese,High
40.05,7.59,3.43,22.05,28.8,Normal,Low
65.2,8.17,1.22,34.86,65.08,Obese,High
41.7,8.49,8.6,28.04,40.65,Overweight,Moderate
51.19,8.36,5.76,20.32,30.46,Normal,Low
81.39,7.74,1.43,22.69,25.17,Normal,Low
51.59,7.72,3.63,28.95,46.36,Overweight,Moderate
71.28,7.62,6.9,30.25,38.16,Obese,Moderate
41.19,5.68,4.58,24.86,44.26,Normal,Moderate
54.3,7.84,4.07,25.41,35.18,Overweight,Low
40.9,5.37,8.28,28.84,50.32,Overweight,Moderate
51.9,6.05,2.9,25.83,45.72,Overweight,Moderate
73.13,8.56,3.44,18.99,34.69,Normal,Moderate
26.91,8.01,5.67,21.3,31.9,Normal,Moderate
65.82,8.78,6.06,26.33,36.39,Overweight,Moderate
62.28,6.67,6.29,31.03,47.92,Obese,Moderate
47.31,5.62,7.2,32.96,61.48,Obese,High
31.97,6.71,5.64,28.94,50.49,Overweight,Moderate
59.3,7.12,6.28,26.58,33.14,Overweight,Low
48.47,7.09,4.63,28.79,45.76,Overweight,Moderate
62.19,8.36,5.34,22.0,23.69,Normal,Low
58.39,6.57,5.44,24.46,32.05,Normal,Low
86.83,7.42,5.67,21.24,14.59,Normal,Low
53.69,5.81,6.9,19.21,35.56,Normal,Moderate
39.58,7.54,6.42,26.8,36.5,Overweight,Moderate
61.23,7.0,5.3,26.09,33.87,Overweight,Low
61.96,6.1,3.42,28.5,49.63,Overweight,Moderate
82.47,6.72,5.35,27.82,35.14,Overweight,Low
73.03,6.78,5.14,26.36,33.32,Overweight,Low
64.42,6.68,5.62,27.87,39.48,Overweight,Moderate
84.34,9.13,10.0,25.0,21.94,Normal,Low
36.6,6.88,4.05,27.18,46.4,Overweight,Moderate
46.48,6.71,6.13,21.71,26.48,Normal,Low
41.32,4.48,7.55,26.97,51.32,Overweight,Moderate
50.98,5.93,5.42,28.41,49.1,Overweight,Moderate
33.22,6.68,10.0,21.99,21.4,Normal,Low
69.43,6.18,4.37,25.45,36.52,Overweight,Low
54.0,8.66,5.91,22.21,26.89,Normal,Low
31.53,6.8,3.44,22.67,36.18,Normal,Moderate
39.72,8.55,4.43,19.8,38.61,Normal,Moderate
63.64,7.07,5.75,31.28,47.08,Obese,Moderate
73.09,7.04,7.06,30.32,39.46,Obese,Moderate
93.94,6.89,5.9,27.78,30.03,Overweight,Low
100.0,7.0,7.97,34.67,41.89,Obese,Moderate
65.46,9.06,4.99,24.29,34.27,Normal,Low
40.19,4.22,4.47,39.75,79.78,Obese,High
19.62,4.6,10.0,24.11,42.82,Normal,Moderate
62.82,6.35,6.07,26.42,36.65,Overweight,Low
43.37,7.02,3.62,23.29,33.45,Normal,Moderate
50.52,7.83,3.67,26.99,41.44,Overweight,Low
46.98,7.57,3.13,29.21,48.42,Overweight,Moderate
55.47,6.54,7.26,24.65,29.84,Normal,Low
77.19,8.22,4.4,33.73,55.24,Obese,High
60.83,8.24,5.48,26.35,35.72,Overweight,Low
55.14,7.22,5.06,26.5,35.81,Overweight,Low
39.36,8.16,6.81,20.84,28.68,Normal,Moderate
27.86,7.33,3.34,27.21,47.54,Overweight,Moderate
49.25,6.33,2.83,24.56,41.19,Normal,Moderate
57.03,7.84,5.69,22.28,22.1,Normal,Low
89.82,7.13,6.52,21.47,13.14,Normal,Low
60.34,7.0,5.93,38.02,55.9,Obese,High
75.69,8.77,3.42,23.94,32.13,Normal,Low
49.01,4.06,6.69,18.21,50.09,Underweight,High
36.67,5.3,3.56,21.85,41.73,Normal,Moderate
40.63,5.58,4.05,24.95,46.35,Normal,Moderate
44.95,6.56,3.12,27.82,49.85,Overweight,Moderate
96.31,6.69,8.06,27.86,26.5,Overweight,Low
43.22,5.19,6.59,28.45,53.01,Overweight,Moderate
73.09,5.82,6.53,22.1,23.58,Normal,Low
41.75,5.97,7.94,26.83,41.53,Overweight,Moderate
74.77,9.95,10.0,20.99,23.23,Normal,Low
64.93,9.16,1.44,22.23,36.04,Normal,Moderate
55.18,6.51,3.58,20.79,33.25,Normal,Low
57.27,6.56,3.84,19.5,35.65,Normal,Low
46.21,5.62,3.33,30.31,61.76,Obese,High
66.03,4.71,2.83,28.51,57.75,Overweight,High
49.81,6.86,4.54,29.89,50.13,Overweight,Moderate
35.94,5.8,2.52,25.39,50.55,Overweight,High
35.0,6.9,5.94,28.93,48.02,Overweight,Moderate
61.11,5.08,5.31,16.75,48.25,Underweight,Moderate
86.42,6.09,6.26,29.34,40.38,Overweight,Moderate
60.88,7.18,6.32,26.05,30.8,Overweight,Low
55.86,7.44,6.53,28.21,36.44,Overweight,Low
63.14,7.5,4.38,27.02,35.12,Overweight,Low
81.51,5.42,9.87,20.46,21.29,Normal,Low
61.95,8.03,5.72,18.01,32.72,Underweight,Low
50.6,6.04,1.1,21.78,39.12,Normal,Moderate
77.91,7.76,2.99,27.91,38.26,Overweight,Moderate
65.72,6.99,1.37,28.51,47.75,Overweight,Moderate
85.64,5.35,5.24,18.63,35.23,Normal,Moderate
61.3,6.62,4.93,20.49,29.24,Normal,Low
35.96,7.44,4.17,21.73,28.81,Normal,Low
33.37,7.74,9.62,23.48,23.09,Normal,Low
87.72,6.83,6.41,18.66,23.81,Normal,Low
89.03,8.84,6.8,18.37,27.37,Underweight,Low
54.77,8.21,3.15,21.26,31.23,Normal,Low
51.1,6.69,3.0,25.61,41.38,Overweight,Moderate
84.31,7.9,5.28,19.53,22.84,Normal,Low
38.07,9.32,5.58,24.64,42.44,Normal,Moderate
41.89,9.35,1.12,30.28,67.03,Obese,High
69.58,5.53,4.8,18.95,38.17,Normal,Moderate
50.9,5.89,5.23,24.21,37.47,Normal,Moderate
57.91,8.78,4.73,30.12,52.07,Obese,Moderate
55.06,5.73,3.41,23.19,38.01,Normal,Moderate
64.08,5.41,4.01,22.45,34.18,Normal,Moderate
83.33,6.42,4.81,30.78,46.36,Obese,Moderate
59.63,7.5,5.4,23.73,24.36,Normal,Low
69.59,6.88,6.53,30.5,42.9,Obese,Moderate
21.1,6.22,7.58,27.26,47.23,Overweight,Moderate
57.12,6.19,4.55,23.55,33.63,Normal,Low
42.82,6.15,4.2,27.5,49.69,Overweight,Moderate
36.06,5.94,6.16,26.74,46.37,Overweight,High
42.19,9.74,6.54,30.1,57.78,Obese,High
51.99,7.36,4.24,22.57,25.99,Normal,Low
74.49,8.06,6.94,25.4,25.63,Overweight,Low
